section,left_definition,right_definition,variant,n_shared,left_rmse,right_rmse,rmse_difference,ci_low,ci_high,interval_spans_zero,interval_available,verdict,races_favouring_left,races_favouring_right,training_sets_differ,response_columns_differ,note,left_response,right_response,shift_median,shift_p95,shift_max,races_shifted_over_threshold,shift_threshold,n_exclusive,exclusive_rmse,exclusive_specials,excluded_because,resampling_unit,n_clusters,bootstrap_resamples,bootstrap_seed
exclusive_races,current,two_party_or_strongest,baseline,,,,,,,,,,,,,,held out by current and not by two_party_or_strongest,,,,,,,,11.0,28.432215,0.0,11 fails eligibility criterion 'has_democrat': a Democrat stood,election_date,23,10000,20260912
exclusive_races,two_party_or_strongest,current,baseline,,,,,,,,,,,,,,held out by two_party_or_strongest and not by current,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
paired_on_shared_races,two_party_or_strongest,current,baseline,413.0,15.007609,15.122938,-0.115329,-0.586789,0.466252,True,True,undecided,200.0,213.0,True,True,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,two_party_or_strongest,current,baseline,413.0,,,,,,,,,,,,True,"part of the RMSE difference is the target moving, not accuracy",dem_margin_two_party_or_strongest,dem_margin,0.0,0.742169,54.413789,17.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,two_party_or_strongest,current,baseline,,,,,,,,,,,,,,held out by two_party_or_strongest and not by current,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
exclusive_races,current,two_party_or_strongest,baseline,,,,,,,,,,,,,,held out by current and not by two_party_or_strongest,,,,,,,,11.0,28.432215,0.0,11 fails eligibility criterion 'has_democrat': a Democrat stood,election_date,23,10000,20260912
paired_on_shared_races,current,write_in_5pct,baseline,424.0,15.612249,15.606727,0.005522,-0.03353,0.035729,True,True,undecided,198.0,226.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,current,write_in_5pct,baseline,424.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin,dem_margin,0.0,0.0,1.593307,1.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,current,write_in_5pct,baseline,,,,,,,,,,,,,,held out by current and not by write_in_5pct,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
exclusive_races,write_in_5pct,current,baseline,,,,,,,,,,,,,,held out by write_in_5pct and not by current,,,,,,,,2.0,63.199612,0.0,"2 fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins",election_date,23,10000,20260912
paired_on_shared_races,write_in_5pct,current,baseline,424.0,15.606727,15.612249,-0.005522,-0.035729,0.03353,True,True,undecided,226.0,198.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,write_in_5pct,current,baseline,424.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin,dem_margin,0.0,0.0,1.593307,1.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,write_in_5pct,current,baseline,,,,,,,,,,,,,,held out by write_in_5pct and not by current,,,,,,,,2.0,63.199612,0.0,"2 fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins",election_date,23,10000,20260912
exclusive_races,current,write_in_5pct,baseline,,,,,,,,,,,,,,held out by current and not by write_in_5pct,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
paired_on_shared_races,current,no_dem_excluded,baseline,413.0,15.122938,15.031351,0.091587,0.007278,0.158364,False,True,no_dem_excluded lower,192.0,221.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,current,no_dem_excluded,baseline,413.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin,dem_margin,0.0,0.0,0.0,0.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,current,no_dem_excluded,baseline,,,,,,,,,,,,,,held out by current and not by no_dem_excluded,,,,,,,,11.0,28.432215,0.0,"11 no Democratic candidate, excluded by this definition",election_date,23,10000,20260912
exclusive_races,no_dem_excluded,current,baseline,,,,,,,,,,,,,,held out by no_dem_excluded and not by current,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
paired_on_shared_races,no_dem_excluded,current,baseline,413.0,15.031351,15.122938,-0.091587,-0.158364,-0.007278,False,True,no_dem_excluded lower,221.0,192.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,no_dem_excluded,current,baseline,413.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin,dem_margin,0.0,0.0,0.0,0.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,no_dem_excluded,current,baseline,,,,,,,,,,,,,,held out by no_dem_excluded and not by current,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
exclusive_races,current,no_dem_excluded,baseline,,,,,,,,,,,,,,held out by current and not by no_dem_excluded,,,,,,,,11.0,28.432215,0.0,"11 no Democratic candidate, excluded by this definition",election_date,23,10000,20260912
paired_on_shared_races,current,no_dem_train_only,baseline,413.0,15.122938,15.112761,0.010177,-0.004367,0.031198,True,True,undecided,207.0,206.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,current,no_dem_train_only,baseline,413.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin,dem_margin,0.0,0.0,0.0,0.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,current,no_dem_train_only,baseline,,,,,,,,,,,,,,held out by current and not by no_dem_train_only,,,,,,,,11.0,28.432215,0.0,11 trained on but withheld from scoring by the 'no_dem_train_only' no-Democrat treatment,election_date,23,10000,20260912
exclusive_races,no_dem_train_only,current,baseline,,,,,,,,,,,,,,held out by no_dem_train_only and not by current,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
paired_on_shared_races,no_dem_train_only,current,baseline,413.0,15.112761,15.122938,-0.010177,-0.031198,0.004367,True,True,undecided,206.0,207.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,no_dem_train_only,current,baseline,413.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin,dem_margin,0.0,0.0,0.0,0.0,1.0,,,,,election_date,23,10000,20260912
exclusive_races,no_dem_train_only,current,baseline,,,,,,,,,,,,,,held out by no_dem_train_only and not by current,,,,,,,,0.0,,0.0,,election_date,23,10000,20260912
exclusive_races,current,no_dem_train_only,baseline,,,,,,,,,,,,,,held out by current and not by no_dem_train_only,,,,,,,,11.0,28.432215,0.0,11 trained on but withheld from scoring by the 'no_dem_train_only' no-Democrat treatment,election_date,23,10000,20260912
paired_on_shared_races,two_party_or_strongest,generals_only,baseline_timing,389.0,13.426479,13.422106,0.004372,-0.017884,0.02247,True,True,undecided,197.0,192.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,6,10000,20260912
response_shift_on_shared_races,two_party_or_strongest,generals_only,baseline_timing,389.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin_two_party_or_strongest,dem_margin_two_party_or_strongest,0.0,0.0,0.0,0.0,1.0,,,,,election_date,6,10000,20260912
exclusive_races,two_party_or_strongest,generals_only,baseline_timing,,,,,,,,,,,,,,held out by two_party_or_strongest and not by generals_only,,,,,,,,24.0,23.79032,24.0,not held out by this definition; no drop reason recorded,election_date,6,10000,20260912
exclusive_races,generals_only,two_party_or_strongest,baseline_timing,,,,,,,,,,,,,,held out by generals_only and not by two_party_or_strongest,,,,,,,,0.0,,0.0,,election_date,6,10000,20260912
paired_on_shared_races,generals_only,two_party_or_strongest,baseline_timing,389.0,13.422106,13.426479,-0.004372,-0.02247,0.017884,True,True,undecided,192.0,197.0,True,False,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,6,10000,20260912
response_shift_on_shared_races,generals_only,two_party_or_strongest,baseline_timing,389.0,,,,,,,,,,,,False,"both definitions score the same response, so this comparison isolates the eligibility rule",dem_margin_two_party_or_strongest,dem_margin_two_party_or_strongest,0.0,0.0,0.0,0.0,1.0,,,,,election_date,6,10000,20260912
exclusive_races,generals_only,two_party_or_strongest,baseline_timing,,,,,,,,,,,,,,held out by generals_only and not by two_party_or_strongest,,,,,,,,0.0,,0.0,,election_date,6,10000,20260912
exclusive_races,two_party_or_strongest,generals_only,baseline_timing,,,,,,,,,,,,,,held out by two_party_or_strongest and not by generals_only,,,,,,,,24.0,23.79032,24.0,not held out by this definition; no drop reason recorded,election_date,6,10000,20260912
